Station,Date,Discharge,Discharge Flag,Manually Measured Discharge,Manual Measurement Ice Effect,Manual Measurement Quality,Data Source
07CD008,17-Jul-02,0.195,,,,,RAMP
07CD008,18-Jul-02,0.224,,,,,RAMP
07CD008,19-Jul-02,0.406,,,,,RAMP
07CD008,20-Jul-02,0.937,,,,,RAMP
07CD008,21-Jul-02,5.27,,,,,RAMP
07CD008,22-Jul-02,6.51,,,,,RAMP
07CD008,23-Jul-02,5.73,,,,,RAMP
07CD008,24-Jul-02,4.37,,,,,RAMP
07CD008,25-Jul-02,3.44,,,,,RAMP
07CD008,26-Jul-02,3.11,,,,,RAMP
07CD008,27-Jul-02,2.92,,,,,RAMP
07CD008,28-Jul-02,2.45,,,,,RAMP
07CD008,29-Jul-02,2.65,,,,,RAMP
07CD008,30-Jul-02,2.38,,,,,RAMP
07CD008,31-Jul-02,3.08,,,,,RAMP
07CD008,01-Aug-02,4.26,,,,,RAMP
07CD008,02-Aug-02,4.13,,,,,RAMP
07CD008,03-Aug-02,3.43,,,,,RAMP
07CD008,04-Aug-02,2.73,,,,,RAMP
07CD008,05-Aug-02,2.22,,,,,RAMP
07CD008,06-Aug-02,2.04,,,,,RAMP
07CD008,07-Aug-02,1.86,,1.67,no,,RAMP
07CD008,08-Aug-02,1.72,,,,,RAMP
07CD008,09-Aug-02,1.6,,,,,RAMP
07CD008,10-Aug-02,1.3,,,,,RAMP
07CD008,11-Aug-02,1.07,,,,,RAMP
07CD008,12-Aug-02,0.975,,,,,RAMP
07CD008,13-Aug-02,0.933,,,,,RAMP
07CD008,14-Aug-02,0.917,,,,,RAMP
07CD008,15-Aug-02,1.44,,,,,RAMP
07CD008,16-Aug-02,3.72,,,,,RAMP
07CD008,17-Aug-02,4.94,,,,,RAMP
07CD008,18-Aug-02,4.76,,,,,RAMP
07CD008,19-Aug-02,4.5,,,,,RAMP
07CD008,20-Aug-02,3.99,,,,,RAMP
07CD008,21-Aug-02,3,,,,,RAMP
07CD008,22-Aug-02,2.45,,,,,RAMP
07CD008,23-Aug-02,2.34,,,,,RAMP
07CD008,24-Aug-02,2.16,,,,,RAMP
07CD008,25-Aug-02,1.84,,,,,RAMP
07CD008,26-Aug-02,1.73,,,,,RAMP
07CD008,27-Aug-02,1.81,,,,,RAMP
07CD008,28-Aug-02,1.37,,,,,RAMP
07CD008,29-Aug-02,1.3,,,,,RAMP
07CD008,30-Aug-02,1.17,,,,,RAMP
07CD008,31-Aug-02,1.19,,,,,RAMP
07CD008,01-Sep-02,1.11,,,,,RAMP
07CD008,02-Sep-02,1.1,,,,,RAMP
07CD008,03-Sep-02,1.12,,,,,RAMP
07CD008,04-Sep-02,1.35,,,,,RAMP
07CD008,05-Sep-02,1.69,,,,,RAMP
07CD008,06-Sep-02,1.74,,,,,RAMP
07CD008,07-Sep-02,1.6,,,,,RAMP
07CD008,08-Sep-02,1.55,,,,,RAMP
07CD008,09-Sep-02,1.47,,,,,RAMP
07CD008,10-Sep-02,1.32,,,,,RAMP
07CD008,11-Sep-02,1.15,,,,,RAMP
07CD008,12-Sep-02,1.06,,,,,RAMP
07CD008,13-Sep-02,1.04,,,,,RAMP
07CD008,14-Sep-02,1.04,,,,,RAMP
07CD008,15-Sep-02,1.07,,,,,RAMP
07CD008,16-Sep-02,0.997,,,,,RAMP
07CD008,17-Sep-02,0.955,,,,,RAMP
07CD008,18-Sep-02,1.02,,,,,RAMP
07CD008,19-Sep-02,0.987,,,,,RAMP
07CD008,20-Sep-02,0.947,,,,,RAMP
07CD008,21-Sep-02,1.08,,,,,RAMP
07CD008,22-Sep-02,1.17,,,,,RAMP
07CD008,23-Sep-02,1.15,,,,,RAMP
07CD008,24-Sep-02,1.15,,,,,RAMP
07CD008,25-Sep-02,1.14,,,,,RAMP
07CD008,26-Sep-02,1.11,,,,,RAMP
07CD008,27-Sep-02,1.05,,,,,RAMP
07CD008,28-Sep-02,1.07,,,,,RAMP
07CD008,29-Sep-02,1.14,,,,,RAMP
07CD008,30-Sep-02,1.15,,,,,RAMP
07CD008,01-Oct-02,1.13,,,,,RAMP
07CD008,02-Oct-02,1.11,,,,,RAMP
07CD008,03-Oct-02,1.15,,,,,RAMP
07CD008,04-Oct-02,1.2,,,,,RAMP
07CD008,05-Oct-02,1.14,,,,,RAMP
07CD008,06-Oct-02,1.12,,,,,RAMP
07CD008,07-Oct-02,1.13,,,,,RAMP
07CD008,08-Oct-02,1.17,,,,,RAMP
07CD008,09-Oct-02,1.17,,,,,RAMP
07CD008,10-Oct-02,1.19,,,,,RAMP
07CD008,11-Oct-02,1.24,,,,,RAMP
07CD008,12-Oct-02,1.21,,,,,RAMP
07CD008,13-Oct-02,1.23,,,,,RAMP
07CD008,14-Oct-02,1.3,,,,,RAMP
07CD008,15-Oct-02,1.28,,,,,RAMP
07CD008,16-Oct-02,,M,,,,RAMP
07CD008,17-Oct-02,,M,,,,RAMP
07CD008,18-Oct-02,,M,,,,RAMP
07CD008,19-Oct-02,,M,,,,RAMP
07CD008,20-Oct-02,,M,,,,RAMP
07CD008,21-Oct-02,,M,,,,RAMP
07CD008,22-Oct-02,,M,0.263,no,,RAMP
07CD008,25-Apr-04,0.678,,0.693,no,Good,RAMP
07CD008,26-Apr-04,0.654,,,,,RAMP
07CD008,27-Apr-04,0.69,,,,,RAMP
07CD008,28-Apr-04,0.768,,,,,RAMP
07CD008,29-Apr-04,0.772,,,,,RAMP
07CD008,30-Apr-04,0.789,,,,,RAMP
07CD008,01-May-04,0.709,,,,,RAMP
07CD008,02-May-04,0.667,,,,,RAMP
07CD008,03-May-04,0.668,,,,,RAMP
07CD008,04-May-04,0.631,,,,,RAMP
07CD008,05-May-04,0.592,,,,,RAMP
07CD008,06-May-04,0.528,,,,,RAMP
07CD008,07-May-04,0.498,,,,,RAMP
07CD008,08-May-04,0.51,,,,,RAMP
07CD008,09-May-04,0.557,,,,,RAMP
07CD008,10-May-04,0.531,,,,,RAMP
07CD008,11-May-04,0.518,,,,,RAMP
07CD008,12-May-04,0.496,,,,,RAMP
07CD008,13-May-04,0.469,,,,,RAMP
07CD008,14-May-04,0.444,,,,,RAMP
07CD008,15-May-04,0.423,,,,,RAMP
07CD008,16-May-04,0.404,,,,,RAMP
07CD008,17-May-04,0.39,,,,,RAMP
07CD008,18-May-04,0.378,,,,,RAMP
07CD008,19-May-04,0.363,,,,,RAMP
07CD008,20-May-04,0.338,,,,,RAMP
07CD008,21-May-04,0.314,,,,,RAMP
07CD008,22-May-04,0.298,,,,,RAMP
07CD008,23-May-04,0.284,,,,,RAMP
07CD008,24-May-04,0.27,,,,,RAMP
07CD008,25-May-04,0.263,,,,,RAMP
07CD008,26-May-04,0.262,,,,,RAMP
07CD008,27-May-04,0.262,,,,,RAMP
07CD008,28-May-04,0.262,,,,,RAMP
07CD008,29-May-04,0.464,,,,,RAMP
07CD008,30-May-04,1.91,,,,,RAMP
07CD008,31-May-04,3.04,,,,,RAMP
07CD008,01-Jun-04,2.75,,,,,RAMP
07CD008,02-Jun-04,2.13,,,,,RAMP
07CD008,03-Jun-04,1.73,,1.72,no,Fair,RAMP
07CD008,04-Jun-04,1.35,,,,,RAMP
07CD008,05-Jun-04,1.04,,,,,RAMP
07CD008,06-Jun-04,0.833,,,,,RAMP
07CD008,07-Jun-04,0.695,,,,,RAMP
07CD008,08-Jun-04,0.595,,,,,RAMP
07CD008,09-Jun-04,0.516,,,,,RAMP
07CD008,10-Jun-04,0.46,,,,,RAMP
07CD008,11-Jun-04,0.447,,,,,RAMP
07CD008,12-Jun-04,0.448,,,,,RAMP
07CD008,13-Jun-04,0.435,,,,,RAMP
07CD008,14-Jun-04,0.416,,,,,RAMP
07CD008,15-Jun-04,0.406,,,,,RAMP
07CD008,16-Jun-04,0.412,,,,,RAMP
07CD008,17-Jun-04,0.397,,,,,RAMP
07CD008,18-Jun-04,0.37,,,,,RAMP
07CD008,19-Jun-04,0.344,,,,,RAMP
07CD008,20-Jun-04,0.343,,,,,RAMP
07CD008,21-Jun-04,0.327,,,,,RAMP
07CD008,22-Jun-04,0.308,,,,,RAMP
07CD008,23-Jun-04,0.286,,,,,RAMP
07CD008,24-Jun-04,0.267,,,,,RAMP
07CD008,25-Jun-04,0.251,,,,,RAMP
07CD008,26-Jun-04,0.23,,,,,RAMP
07CD008,27-Jun-04,0.213,,,,,RAMP
07CD008,28-Jun-04,0.193,,,,,RAMP
07CD008,29-Jun-04,0.181,,,,,RAMP
07CD008,30-Jun-04,0.176,,,,,RAMP
07CD008,01-Jul-04,0.172,,,,,RAMP
07CD008,02-Jul-04,0.181,,,,,RAMP
07CD008,03-Jul-04,0.175,,,,,RAMP
07CD008,04-Jul-04,0.166,,,,,RAMP
07CD008,05-Jul-04,0.159,,,,,RAMP
07CD008,06-Jul-04,0.153,,,,,RAMP
07CD008,07-Jul-04,0.149,,,,,RAMP
07CD008,08-Jul-04,0.15,,,,,RAMP
07CD008,09-Jul-04,0.154,,,,,RAMP
07CD008,10-Jul-04,0.15,,,,,RAMP
07CD008,11-Jul-04,0.144,,,,,RAMP
07CD008,12-Jul-04,0.156,,,,,RAMP
07CD008,13-Jul-04,0.174,,,,,RAMP
07CD008,14-Jul-04,0.166,,,,,RAMP
07CD008,15-Jul-04,0.16,,,,,RAMP
07CD008,16-Jul-04,0.155,,,,,RAMP
07CD008,17-Jul-04,0.165,,,,,RAMP
07CD008,18-Jul-04,0.154,,,,,RAMP
07CD008,19-Jul-04,0.141,,,,,RAMP
07CD008,20-Jul-04,0.147,,,,,RAMP
07CD008,21-Jul-04,0.197,,,,,RAMP
07CD008,22-Jul-04,0.198,,,,,RAMP
07CD008,23-Jul-04,0.196,,,,,RAMP
07CD008,24-Jul-04,0.185,,,,,RAMP
07CD008,25-Jul-04,0.172,,0.135,no,Good,RAMP
07CD008,26-Jul-04,0.169,,,,,RAMP
07CD008,27-Jul-04,0.262,,,,,RAMP
07CD008,28-Jul-04,0.362,,,,,RAMP
07CD008,29-Jul-04,0.35,,,,,RAMP
07CD008,30-Jul-04,0.343,,,,,RAMP
07CD008,31-Jul-04,0.32,,,,,RAMP
07CD008,01-Aug-04,0.283,,,,,RAMP
07CD008,02-Aug-04,0.255,,,,,RAMP
07CD008,03-Aug-04,0.234,,,,,RAMP
07CD008,04-Aug-04,0.209,,,,,RAMP
07CD008,05-Aug-04,0.192,,,,,RAMP
07CD008,06-Aug-04,0.186,,,,,RAMP
07CD008,07-Aug-04,0.189,,,,,RAMP
07CD008,08-Aug-04,0.193,,,,,RAMP
07CD008,09-Aug-04,0.187,,,,,RAMP
07CD008,10-Aug-04,0.176,,,,,RAMP
07CD008,11-Aug-04,0.164,,,,,RAMP
07CD008,12-Aug-04,0.154,,,,,RAMP
07CD008,13-Aug-04,0.143,,,,,RAMP
07CD008,14-Aug-04,0.135,,,,,RAMP
07CD008,15-Aug-04,0.126,,,,,RAMP
07CD008,16-Aug-04,0.121,,,,,RAMP
07CD008,17-Aug-04,0.117,,,,,RAMP
07CD008,18-Aug-04,0.121,,,,,RAMP
07CD008,19-Aug-04,0.118,,,,,RAMP
07CD008,20-Aug-04,0.115,,,,,RAMP
07CD008,21-Aug-04,0.12,,,,,RAMP
07CD008,22-Aug-04,0.119,,,,,RAMP
07CD008,23-Aug-04,0.127,,0.141,no,Good,RAMP
07CD008,24-Aug-04,0.117,,,,,RAMP
07CD008,25-Aug-04,0.119,,,,,RAMP
07CD008,26-Aug-04,0.117,,,,,RAMP
07CD008,27-Aug-04,0.116,,,,,RAMP
07CD008,28-Aug-04,0.12,,,,,RAMP
07CD008,29-Aug-04,0.123,,,,,RAMP
07CD008,30-Aug-04,0.122,,,,,RAMP
07CD008,31-Aug-04,0.124,,,,,RAMP
07CD008,01-Sep-04,0.133,,,,,RAMP
07CD008,02-Sep-04,0.135,,,,,RAMP
07CD008,03-Sep-04,0.145,,,,,RAMP
07CD008,04-Sep-04,0.163,,,,,RAMP
07CD008,05-Sep-04,0.186,,,,,RAMP
07CD008,06-Sep-04,0.213,,,,,RAMP
07CD008,07-Sep-04,0.219,,,,,RAMP
07CD008,08-Sep-04,0.22,,,,,RAMP
07CD008,09-Sep-04,0.217,,,,,RAMP
07CD008,10-Sep-04,0.209,,,,,RAMP
07CD008,11-Sep-04,0.2,,,,,RAMP
07CD008,12-Sep-04,0.198,,,,,RAMP
07CD008,13-Sep-04,0.205,,,,,RAMP
07CD008,14-Sep-04,0.202,,,,,RAMP
07CD008,15-Sep-04,0.197,,,,,RAMP
07CD008,16-Sep-04,0.195,,,,,RAMP
07CD008,17-Sep-04,0.192,,,,,RAMP
07CD008,18-Sep-04,0.198,,,,,RAMP
07CD008,19-Sep-04,0.427,,,,,RAMP
07CD008,20-Sep-04,0.555,,0.624,no,Good,RAMP
07CD008,21-Sep-04,0.532,,,,,RAMP
07CD008,22-Sep-04,0.488,,,,,RAMP
07CD008,23-Sep-04,0.444,,,,,RAMP
07CD008,24-Sep-04,0.406,,,,,RAMP
07CD008,25-Sep-04,0.373,,,,,RAMP
07CD008,26-Sep-04,0.342,,,,,RAMP
07CD008,27-Sep-04,0.319,,,,,RAMP
07CD008,28-Sep-04,0.295,,,,,RAMP
07CD008,29-Sep-04,0.275,,,,,RAMP
07CD008,30-Sep-04,0.263,,,,,RAMP
07CD008,01-Oct-04,0.251,,,,,RAMP
07CD008,02-Oct-04,0.244,,,,,RAMP
07CD008,03-Oct-04,0.239,,,,,RAMP
07CD008,04-Oct-04,0.231,,,,,RAMP
07CD008,05-Oct-04,0.225,,,,,RAMP
07CD008,06-Oct-04,0.219,,,,,RAMP
07CD008,07-Oct-04,0.211,,,,,RAMP
07CD008,08-Oct-04,0.204,,,,,RAMP
07CD008,09-Oct-04,0.198,,,,,RAMP
07CD008,10-Oct-04,0.192,,,,,RAMP
07CD008,11-Oct-04,0.188,,,,,RAMP
07CD008,12-Oct-04,0.182,,,,,RAMP
07CD008,13-Oct-04,0.183,,,,,RAMP
07CD008,14-Oct-04,0.193,,,,,RAMP
07CD008,15-Oct-04,0.198,,,,,RAMP
07CD008,16-Oct-04,0.195,,,,,RAMP
07CD008,17-Oct-04,0.189,,,,,RAMP
07CD008,18-Oct-04,0.186,,,,,RAMP
07CD008,19-Oct-04,0.182,,,,,RAMP
07CD008,20-Oct-04,,M,,,,RAMP
07CD008,21-Oct-04,,M,,,,RAMP
07CD008,22-Oct-04,,M,,,,RAMP
07CD008,23-Oct-04,,M,,,,RAMP
07CD008,24-Oct-04,,M,,,,RAMP
07CD008,25-Oct-04,,M,,,,RAMP
07CD008,26-Oct-04,,M,,,,RAMP
07CD008,27-Oct-04,,M,,,,RAMP
07CD008,28-Oct-04,,M,,,,RAMP
07CD008,29-Oct-04,,M,,,,RAMP
07CD008,30-Oct-04,0.221,A,0.221,yes,Good,RAMP
07CD008,24-Apr-05,3.05,,2.86,no,Good,RAMP
07CD008,25-Apr-05,2.62,,,,,RAMP
07CD008,26-Apr-05,2.2,,,,,RAMP
07CD008,27-Apr-05,1.77,,,,,RAMP
07CD008,28-Apr-05,1.43,,,,,RAMP
07CD008,29-Apr-05,1.22,,,,,RAMP
07CD008,30-Apr-05,1.06,,,,,RAMP
07CD008,01-May-05,0.944,,,,,RAMP
07CD008,02-May-05,0.945,,,,,RAMP
07CD008,03-May-05,1.06,,,,,RAMP
07CD008,04-May-05,1.07,,,,,RAMP
07CD008,05-May-05,0.993,,,,,RAMP
07CD008,06-May-05,1.07,,,,,RAMP
07CD008,07-May-05,1.04,,,,,RAMP
07CD008,08-May-05,0.955,,,,,RAMP
07CD008,09-May-05,0.898,,,,,RAMP
07CD008,10-May-05,0.773,,,,,RAMP
07CD008,11-May-05,0.691,,,,,RAMP
07CD008,12-May-05,0.629,,,,,RAMP
07CD008,13-May-05,0.594,,,,,RAMP
07CD008,14-May-05,0.552,,,,,RAMP
07CD008,15-May-05,0.516,,,,,RAMP
07CD008,16-May-05,0.491,,,,,RAMP
07CD008,17-May-05,0.484,,,,,RAMP
07CD008,18-May-05,0.845,,,,,RAMP
07CD008,19-May-05,4.89,,,,,RAMP
07CD008,20-May-05,15.7,,,,,RAMP
07CD008,21-May-05,11.9,,,,,RAMP
07CD008,22-May-05,7.67,,,,,RAMP
07CD008,23-May-05,4.84,,,,,RAMP
07CD008,24-May-05,3.52,,,,,RAMP
07CD008,25-May-05,2.73,,,,,RAMP
07CD008,26-May-05,2.37,,,,,RAMP
07CD008,27-May-05,2,,,,,RAMP
07CD008,28-May-05,1.64,,,,,RAMP
07CD008,29-May-05,1.36,,1.59,no,Good,RAMP
07CD008,30-May-05,1.15,,,,,RAMP
07CD008,31-May-05,0.98,,,,,RAMP
07CD008,01-Jun-05,0.832,,,,,RAMP
07CD008,02-Jun-05,0.721,,,,,RAMP
07CD008,03-Jun-05,0.64,,,,,RAMP
07CD008,04-Jun-05,0.573,,,,,RAMP
07CD008,05-Jun-05,0.532,,,,,RAMP
07CD008,06-Jun-05,0.487,,,,,RAMP
07CD008,07-Jun-05,0.43,,,,,RAMP
07CD008,08-Jun-05,0.378,,,,,RAMP
07CD008,09-Jun-05,0.343,,,,,RAMP
07CD008,10-Jun-05,0.321,,,,,RAMP
07CD008,11-Jun-05,0.303,,,,,RAMP
07CD008,12-Jun-05,0.302,,,,,RAMP
07CD008,13-Jun-05,0.336,,,,,RAMP
07CD008,14-Jun-05,0.538,,,,,RAMP
07CD008,15-Jun-05,0.879,,,,,RAMP
07CD008,16-Jun-05,1.23,,,,,RAMP
07CD008,17-Jun-05,1.16,,,,,RAMP
07CD008,18-Jun-05,1.02,,,,,RAMP
07CD008,19-Jun-05,0.905,,,,,RAMP
07CD008,20-Jun-05,0.8,,,,,RAMP
07CD008,21-Jun-05,0.699,,,,,RAMP
07CD008,22-Jun-05,0.695,,,,,RAMP
07CD008,23-Jun-05,0.905,,,,,RAMP
07CD008,24-Jun-05,1.12,,,,,RAMP
07CD008,25-Jun-05,1.09,,,,,RAMP
07CD008,26-Jun-05,1.23,,,,,RAMP
07CD008,27-Jun-05,1.14,,,,,RAMP
07CD008,28-Jun-05,0.981,,,,,RAMP
07CD008,29-Jun-05,0.884,,,,,RAMP
07CD008,30-Jun-05,0.789,,,,,RAMP
07CD008,01-Jul-05,0.688,,,,,RAMP
07CD008,02-Jul-05,0.649,,,,,RAMP
07CD008,03-Jul-05,0.669,,,,,RAMP
07CD008,04-Jul-05,0.603,,,,,RAMP
07CD008,05-Jul-05,0.528,,,,,RAMP
07CD008,06-Jul-05,0.57,,,,,RAMP
07CD008,07-Jul-05,0.995,,,,,RAMP
07CD008,08-Jul-05,0.916,,,,,RAMP
07CD008,09-Jul-05,0.79,,,,,RAMP
07CD008,10-Jul-05,0.693,,,,,RAMP
07CD008,11-Jul-05,0.591,,,,,RAMP
07CD008,12-Jul-05,4.8,,0.776,no,Good,RAMP
07CD008,13-Jul-05,0.858,,,,,RAMP
07CD008,14-Jul-05,0.472,,,,,RAMP
07CD008,15-Jul-05,0.42,,,,,RAMP
07CD008,16-Jul-05,0.375,,,,,RAMP
07CD008,17-Jul-05,0.347,,,,,RAMP
07CD008,18-Jul-05,0.341,,,,,RAMP
07CD008,19-Jul-05,0.347,,,,,RAMP
07CD008,20-Jul-05,0.333,,,,,RAMP
07CD008,21-Jul-05,0.306,,,,,RAMP
07CD008,22-Jul-05,0.309,,,,,RAMP
07CD008,23-Jul-05,0.716,,,,,RAMP
07CD008,24-Jul-05,5.82,,,,,RAMP
07CD008,25-Jul-05,7.87,,,,,RAMP
07CD008,26-Jul-05,9.83,,,,,RAMP
07CD008,27-Jul-05,8.85,,,,,RAMP
07CD008,28-Jul-05,6.85,,,,,RAMP
07CD008,29-Jul-05,5.65,,,,,RAMP
07CD008,30-Jul-05,4.89,,,,,RAMP
07CD008,31-Jul-05,4.5,,,,,RAMP
07CD008,01-Aug-05,3.54,,,,,RAMP
07CD008,02-Aug-05,3,,,,,RAMP
07CD008,03-Aug-05,2.67,,,,,RAMP
07CD008,04-Aug-05,2.14,,,,,RAMP
07CD008,05-Aug-05,1.88,,,,,RAMP
07CD008,06-Aug-05,1.57,,,,,RAMP
07CD008,07-Aug-05,1.61,,,,,RAMP
07CD008,08-Aug-05,1.68,,,,,RAMP
07CD008,09-Aug-05,1.68,,,,,RAMP
07CD008,10-Aug-05,1.42,,,,,RAMP
07CD008,11-Aug-05,2.06,,,,,RAMP
07CD008,12-Aug-05,3.48,,,,,RAMP
07CD008,13-Aug-05,4.16,,,,,RAMP
07CD008,14-Aug-05,4.16,,,,,RAMP
07CD008,15-Aug-05,3.59,,,,,RAMP
07CD008,16-Aug-05,2.92,,,,,RAMP
07CD008,17-Aug-05,2.68,,,,,RAMP
07CD008,18-Aug-05,3.94,,,,,RAMP
07CD008,19-Aug-05,6.05,,,,,RAMP
07CD008,20-Aug-05,5.87,,,,,RAMP
07CD008,21-Aug-05,4.74,,,,,RAMP
07CD008,22-Aug-05,4.26,,,,,RAMP
07CD008,23-Aug-05,3.83,,,,,RAMP
07CD008,24-Aug-05,2.91,,,,,RAMP
07CD008,25-Aug-05,2.34,,,,,RAMP
07CD008,26-Aug-05,1.88,,,,,RAMP
07CD008,27-Aug-05,1.57,,,,,RAMP
07CD008,28-Aug-05,1.42,,,,,RAMP
07CD008,29-Aug-05,1.2,,,,,RAMP
07CD008,30-Aug-05,1.31,,,,,RAMP
07CD008,31-Aug-05,1.12,,,,,RAMP
07CD008,01-Sep-05,1.04,,,,,RAMP
07CD008,02-Sep-05,0.989,,,,,RAMP
07CD008,03-Sep-05,1.01,,,,,RAMP
07CD008,04-Sep-05,0.909,,0.724,no,Good,RAMP
07CD008,05-Sep-05,0.852,,,,,RAMP
07CD008,06-Sep-05,0.725,,,,,RAMP
07CD008,07-Sep-05,0.655,,,,,RAMP
07CD008,08-Sep-05,0.555,,,,,RAMP
07CD008,09-Sep-05,0.683,,,,,RAMP
07CD008,10-Sep-05,0.709,,,,,RAMP
07CD008,11-Sep-05,0.62,,,,,RAMP
07CD008,12-Sep-05,0.693,,,,,RAMP
07CD008,13-Sep-05,0.607,,,,,RAMP
07CD008,14-Sep-05,0.679,,,,,RAMP
07CD008,15-Sep-05,0.561,,,,,RAMP
07CD008,16-Sep-05,0.537,,,,,RAMP
07CD008,17-Sep-05,0.483,,,,,RAMP
07CD008,18-Sep-05,0.462,,,,,RAMP
07CD008,19-Sep-05,0.468,,,,,RAMP
07CD008,20-Sep-05,0.503,,,,,RAMP
07CD008,21-Sep-05,0.535,,,,,RAMP
07CD008,22-Sep-05,0.603,,,,,RAMP
07CD008,23-Sep-05,0.533,,,,,RAMP
07CD008,24-Sep-05,0.519,,,,,RAMP
